script_id,imdb_id
1571,tt0103639
1957,tt1216475
2961,tt0120762
2782,tt0110357
2784,tt0097757
6026,tt0088814
5516,tt1772341
5521,tt0119282
5525,tt0053285
5528,tt0120855
5533,tt0116583
5534,tt0061852
5145,tt0435761
5404,tt1142977
9017,tt1453405
8652,tt0114148
9254,tt0101414
1028,tt0317705
1421,tt0114709
3641,tt1049413
2296,tt0266543
5424,tt2096673
4853,tt0382932
7991,tt0198781
